id;id_book;name;author;price;quantity;status;descriptioin;created_date;created_by;updated_date;updated_by
1;FreshX;Front-line Sierra protocol;compressing;23232;42098;HOT;compress matrix navigating;2022-03-26T17:08:44;48720;2022-03-26T14:27:08;7051
2;hack Sleek;Dakota maximized;Berkshire Architect Account;99916;99936;SOLD_OUT;Soap District;2022-03-26T18:37:13;37120;2022-03-27T03:08:10;97354
3;MillXX;navigate Beauty Cambridgeshire;Alabama JBOD;28833;1864;NEW;Web;2022-03-27T04:06:39;73167;2022-03-27T11:36:44;42224
4;Orchestrator Rubber;Bhutanese implementation Account;Berkshire;16014;84834;CURRENT;real-time XSS Cambridgeshire;2022-03-26T15:49:39;36765;2022-03-26T12:19:10;52348
5;MetalX;withdrawal Ball Concrete;internet;33434;1410;CURRENT;Decentralized up;2022-03-27T00:32:16;41418;2022-03-26T18:18:55;7544
6;Checking Jersey;payment;target Ball;26411;93611;NEW;sensor;2022-03-26T23:37:31;20425;2022-03-26T14:46:52;92523
7;lavender;Factors empower real-time;local parse;83921;88027;HOT;Synchronised;2022-03-26T12:44:34;24098;2022-03-27T10:00:54;13960
8;Alabama Data;Configuration Shilling;Investor experiences;50454;40532;SOLD_OUT;JSON Engineer purposes;2022-03-27T05:43:50;24053;2022-03-26T21:16:14;10683
9;Phi Agent Maryland;instruction Soft;Licensed;43688;28625;NEW;access;2022-03-26T18:30:49;89604;2022-03-27T07:15:07;30216
10;olive Rustic Checking;repurpose Turnpike;Metal analyzing Missouri;87895;34227;HOT;override;2022-03-27T05:43:03;52081;2022-03-27T10:04:17;64588
