id;id_food;nam;price;description;status;created_date;created_by;updated_date;updated_by
1;24 technologies compress;Pants communities;48468;Neck relationships Bedfordshire;NEW;2022-03-27T01:34:56;6052;2022-03-27T09:05:10;46553
2;Chicken conglomeration payment;Tuna;89888;Cordoba;HOT;2022-03-26T19:10:53;27608;2022-03-26T17:39:29;6193
3;e-markets capacitor content-based;Analyst even-keeled;41662;Delaware Accounts hack;CURRENT;2022-03-26T12:46:53;78758;2022-03-27T01:15:25;44616
4;24XXXX;Trail Granite static;33271;Division Berkshire Loan;CURRENT;2022-03-27T04:18:06;94853;2022-03-26T19:05:37;37117
5;Rustic Towels redefine;Table Metal Cambridgeshire;1805;sky;SOLD_OUT;2022-03-27T01:45:48;11265;2022-03-26T13:26:52;45878
6;Nebraska;salmon seamless;59289;Bedfordshire;HOT;2022-03-26T15:52:01;65055;2022-03-27T10:30:00;18392
7;recontextualize Health;6th;55280;Central;HOT;2022-03-26T14:01:38;18512;2022-03-26T20:27:21;1860
8;Cambridgeshire Directives;Sausages COM Clothing;3306;Mobility utilisation;HOT;2022-03-26T23:28:21;14948;2022-03-27T10:40:12;88495
9;Unbranded Franc Connecticut;Towels Tunnel copy;36180;Assurance deploy Shoes;NEW;2022-03-27T06:08:11;28441;2022-03-27T06:50:45;7604
10;Libyan redundant Refined;Generic RSS monetize;38745;web-readiness Agent;CURRENT;2022-03-27T11:06:44;94197;2022-03-26T14:02:39;98729
