id;quantity;description;note;created_date;created_by;updated_date;updated_by
1;52870;Soap;Tuna edge;2022-03-27T05:42:17;5747;2022-03-26T23:38:17;89570
2;21655;generation black Michigan;hack Delaware;2022-03-27T00:18:33;94142;2022-03-26T15:47:35;57876
3;60563;Profit-focused;bypassing cross-platform;2022-03-27T05:12:10;54478;2022-03-26T21:39:07;53484
4;85443;Chicken Small;Avon Home digital;2022-03-27T07:42:55;31437;2022-03-27T05:16:12;46868
5;83218;purple wireless Industrial;ivory;2022-03-27T09:49:20;79642;2022-03-26T21:43:55;89754
6;1471;high-level SMS;Cambridgeshire auxiliary 24/7;2022-03-26T12:29:40;22074;2022-03-26T19:35:40;4926
7;25473;Computers SQL;system Agent invoice;2022-03-27T05:36:44;46520;2022-03-27T06:28:15;61946
8;66943;Investment Analyst;quantifying transmit Concrete;2022-03-27T02:35:06;39032;2022-03-27T01:50:29;11861
9;63162;Steel;PCI SCSI SCSI;2022-03-27T06:55:04;57291;2022-03-27T10:34:21;95305
10;67708;Riel Customer metrics;interface Carolina;2022-03-26T21:08:32;25421;2022-03-27T05:32:27;88858
