id;address;note;price_total;status;created_date;created_by;updated_date;updated_by
1;overriding;Sports;55782;INJECTED;2022-03-26T16:39:20;37188;2022-03-27T10:15:22;15791
2;program;Villages bi-directional;8059;PENDING;2022-03-26T19:04:35;741;2022-03-27T09:03:05;13451
3;Hungary Identity Functionality;portal;83420;RECEIVED;2022-03-27T03:49:18;73189;2022-03-26T21:24:04;35277
4;Cheese;SQL Peso plum;39387;CANCEL;2022-03-26T14:53:07;56075;2022-03-26T14:00:02;57226
5;drive Fresh;Intelligent Profit-focused Executive;71528;CANCEL;2022-03-27T06:18:39;40537;2022-03-27T03:56:50;51649
6;data-warehouse Savings payment;digital Checking;42966;RECEIVED;2022-03-26T17:00:52;55857;2022-03-27T04:31:54;45532
7;olive Functionality Assistant;line;26593;INJECTED;2022-03-26T14:34:51;82468;2022-03-26T16:17:49;44640
8;Bhutan;Electronics Central e-services;28170;RECEIVED;2022-03-26T23:23:22;46702;2022-03-27T03:10:50;53480
9;monitor District;Sleek;54738;INJECTED;2022-03-26T17:39:02;25770;2022-03-26T21:52:32;18015
10;ivory;México;69237;INJECTED;2022-03-26T14:09:44;59779;2022-03-26T15:42:41;21424
