id;total_price;status;created_date;created_by;updated_date;updated_by
1;41632;NOT_DEPOSIT_YET;2022-03-26T14:59:40;53699;2022-03-26T16:44:46;37369
2;99431;DEPOSITED;2022-03-27T10:40:45;765;2022-03-26T20:05:14;90632
3;72547;NOT_DEPOSIT_YET;2022-03-26T18:54:28;48001;2022-03-27T06:08:34;48759
4;21018;UNPAID;2022-03-27T12:07:21;37230;2022-03-26T14:58:24;53035
5;46068;NOT_DEPOSIT_YET;2022-03-26T16:30:40;23037;2022-03-27T07:52:44;75789
6;2088;PAID;2022-03-27T02:42:36;4334;2022-03-26T23:52:43;3628
7;1273;PAID;2022-03-26T13:16:21;93728;2022-03-27T04:00:20;2230
8;14239;NOT_DEPOSIT_YET;2022-03-26T12:46:58;98335;2022-03-26T18:08:19;50719
9;2516;NOT_DEPOSIT_YET;2022-03-27T10:17:27;9096;2022-03-26T16:55:52;22642
10;89001;UNPAID;2022-03-26T15:28:17;23194;2022-03-26T20:13:52;65952
