id;name;status;created_date;created_by;updated_date;updated_by
1;Cotton Helena Jewelery;NEW;2022-03-26T15:53:59;10867;2022-03-26T19:04:08;56068
2;Global calculating;NEW;2022-03-27T00:16:09;92227;2022-03-26T23:39:23;15624
3;capacitor;CURRENT;2022-03-26T13:14:20;64892;2022-03-27T11:46:33;90225
4;deposit withdrawal edge;CURRENT;2022-03-27T05:14:14;98594;2022-03-26T16:11:46;96295
5;Corporate redundant;HOT;2022-03-26T21:19:59;58024;2022-03-27T07:40:38;67224
6;Chicken;CURRENT;2022-03-27T10:40:40;85851;2022-03-27T07:16:35;54320
7;Consultant;NEW;2022-03-27T10:36:33;4750;2022-03-26T20:30:42;17591
8;superstructure;HOT;2022-03-27T07:45:19;23976;2022-03-26T14:24:25;62614
9;scalable back Direct;CURRENT;2022-03-26T16:49:50;50937;2022-03-26T18:04:20;48598
10;online bluetooth;HOT;2022-03-27T11:20:38;4835;2022-03-26T14:31:24;28470
