id;id_voucher;name;description;percent_promotion;max_total_money_promotion;active;start_time;end_time;created_date;created_by;updated_date;updated_by
1;quantifying zero;synergies Intranet;projection grow;89921;59560;false;2022-03-27T03:34:27;2022-03-27T07:50:13;2022-03-26T19:19:41;58364;2022-03-27T07:57:16;80419
2;empower Squares Sausages;feed;revolutionary Kuna bluetooth;91991;10308;true;2022-03-26T16:27:29;2022-03-26T21:22:41;2022-03-27T06:03:01;21934;2022-03-26T14:36:15;10181
3;programming Universal bandwidth;Eritrea Garden Identity;Metical Kids mobile;44967;57743;false;2022-03-27T04:10:51;2022-03-27T08:08:46;2022-03-26T15:20:09;6730;2022-03-27T09:03:29;86167
4;multi-tasking Harbor Direct;syndicate solution Baby;Integrated Solutions;93663;5136;true;2022-03-27T00:35:22;2022-03-26T21:02:32;2022-03-27T03:08:30;91867;2022-03-27T02:21:31;54403
5;Sterling 1080p;up Yen;Account;98156;34767;true;2022-03-26T14:55:37;2022-03-26T19:50:09;2022-03-27T09:00:33;28800;2022-03-27T02:03:55;36325
6;Streamlined Suriname Texas;Idaho connect;panel;78368;1702;false;2022-03-27T08:10:42;2022-03-27T03:40:42;2022-03-27T11:21:30;80669;2022-03-27T12:12:13;84472
7;strategic Ergonomic object-oriented;override;copy;79998;11742;true;2022-03-26T14:45:49;2022-03-26T21:52:59;2022-03-26T15:44:42;31396;2022-03-26T23:58:43;22654
8;MaineXXXXX;responsive Vanuatu yellow;directional Tools;66333;89360;true;2022-03-27T09:08:39;2022-03-26T16:25:38;2022-03-26T21:06:11;79609;2022-03-27T05:54:44;74338
9;Switchable;Metal Plaza salmon;Gruzia deposit solutions;29834;2408;true;2022-03-26T22:08:06;2022-03-27T02:08:47;2022-03-27T07:39:13;74154;2022-03-27T10:48:46;25753
10;Streamlined indigo;Savings;Integration base;12487;2609;false;2022-03-27T11:59:11;2022-03-26T21:22:08;2022-03-27T11:26:25;72598;2022-03-26T22:53:38;56852
