id;time_start;time_end;price_total;name_event;note;quantity_people;status;percent_deposit;created_date;created_by;updated_date;updated_by
1;2022-03-26T21:53:00;2022-03-27T05:27:55;34540;brand Sleek;Multi-tiered convergence Music;49937;PENDING;2878;2022-03-27T04:08:19;20733;2022-03-26T13:03:41;12783
2;2022-03-26T12:20:15;2022-03-27T12:04:30;89797;Fresh Colon;Common Strategist Home;45789;INJECTED;67075;2022-03-26T15:24:29;71774;2022-03-27T00:38:23;14805
3;2022-03-27T09:35:19;2022-03-26T14:13:35;44344;Dynamic;invoice;95353;INJECTED;43918;2022-03-27T00:11:39;55243;2022-03-27T02:59:39;98013
4;2022-03-26T23:40:46;2022-03-27T01:36:01;35779;Soap;Stream Monaco;28735;PENDING;20023;2022-03-27T02:30:21;16715;2022-03-26T12:46:21;17786
5;2022-03-26T15:32:13;2022-03-27T00:43:18;47057;leverage bypassing;PNG invoice Soap;93685;PENDING;5;2022-03-26T14:53:07;63076;2022-03-26T13:19:26;80768
6;2022-03-26T20:57:57;2022-03-27T08:48:22;49587;systems Avon Berkshire;Music Concrete;14691;PENDING;22071;2022-03-27T03:31:36;44776;2022-03-27T02:22:52;43216
7;2022-03-27T01:23:36;2022-03-26T19:29:14;5354;feed;Cambridgeshire knowledge;43936;ACCEPTED;51300;2022-03-26T18:15:25;68188;2022-03-27T06:39:41;70881
8;2022-03-26T14:17:42;2022-03-26T19:25:20;62831;parsing hard Books;Điển Division Garden;53580;PENDING;13740;2022-03-27T02:25:57;19770;2022-03-26T12:16:52;28519
9;2022-03-27T09:55:47;2022-03-26T15:50:59;28609;Engineer Run Legacy;Computers;98797;PENDING;38933;2022-03-26T17:10:39;74391;2022-03-27T10:35:49;95923
10;2022-03-26T15:37:27;2022-03-27T01:07:36;16082;Executive Fresh;Bahamas systemic human-resource;96300;PENDING;1673;2022-03-27T02:48:35;955;2022-03-26T18:38:48;99207
