id;name;location;quantity_can_hold;price_per_hour;created_date;created_by;updated_date;updated_by
1;e-markets;Borders Home;77493;66989;2022-03-27T00:09:15;23600;2022-03-27T05:02:21;82980
2;virtual web-readiness;generating;82877;60252;2022-03-26T17:16:39;95296;2022-03-26T15:09:33;82154
3;Keyboard Shoes;Dynamic;21074;82746;2022-03-27T01:33:02;81831;2022-03-26T22:21:18;76105
4;iterate maximize Product;multi-tasking Wooden;88615;92338;2022-03-26T16:33:32;53391;2022-03-27T12:01:41;79052
5;Concrete Metical Mouse;Ports overriding Tools;75699;55462;2022-03-26T19:11:33;20933;2022-03-26T22:51:13;8675
6;back-end Carolina Legacy;Dam incentivize;91018;92493;2022-03-27T04:27:28;53194;2022-03-26T21:49:21;61639
7;deposit client-driven Computer;system withdrawal;62225;70270;2022-03-27T06:47:26;7460;2022-03-27T08:58:14;16168
8;SDD;withdrawal backing;59729;21831;2022-03-27T10:44:54;18972;2022-03-27T07:41:59;52293
9;Checking;Phi auxiliary Michigan;43867;64620;2022-03-26T23:23:40;3367;2022-03-27T00:39:02;77568
10;Unbranded Cotton Bedfordshire;synthesizing JSON AGP;78476;91339;2022-03-26T20:26:21;60741;2022-03-27T06:56:25;4446
